body,label
"Hej Dennis,

Tack för din ansökan. Vi uppskattar att du vill jobba hos oss och ditt intresse för Infrastrukturspecialist.
 
Vi kommer att gå igenom din ansökan inom kort, och återkoppla till dig så snabbt vi kan.
",received
"Verifiera din e-postadress för att slutföra ansökan till IT-arkitekt

Besök nedanstående sida och slutför ansökan.
",received
"Tack Dennis Moberg för din ansökan till tjänsten: Servicetekniker till TRINT Mobility Services-team!
Vi kommer inom kort att påbörja urvalsprocessen och återkomma till dig så snart som möjligt. 
 
Ha en fortsatt fin dag!
Med vänlig hälsning,
",received
"Tack för din ansökan. Vi uppskattar ditt intresse för att bli en del av Levra.  
 
Vi kommer att granska din ansökan för hemstädning inom kort och återkommer till dig så snart som möjligt.
 
Vänliga hälsningar

",received
"Hej Dennis,
 
Tack för din ansökan till tjänsten &quot;Finsktalande kundservicemedarbetare till Footway!&quot; – vad kul att du är intresserad av att bli en del av teamet! 🎉
 
För att vi ska hitta rätt person till rätt tjänst i vår rekrytering, samt att samtliga sökande ska ha en rättvis chans, består vårt första urval av ett matchningstest. Detta test är framtaget och skräddarsytt specifikt för kundservicerollen, baserat på forskning och studier på tusentals personer. 
 
Om du har uppfyllt våra skallkrav för tjänsten kommer du att få en separat inbjudan till testet från vår samarbetspartner TeamTailor. Det består av två delar och tar max 15 minuter att göra. Vi rekommenderar dig att genomföra testet via en dator. Se till att du sitter bekvämt, är utvilad och kan svara i lugn och ro. Och viktigast av allt – var dig själv! Det är precis det vi vill se. ✨
 
Ett tips! Om du inte ser testinbjudan i inkorgen, kan den ha hamnat i skräpposten. Den skickas från &quot;TeamTailor&quot;, så det kan hjälpa att söka efter det.
 
Har du några frågor eller behöver hjälp? Inga problem, vi finns här! Hör bara av dig till oss på rekrytering@workz.se.
 
Lycka till, vi hejar på dig! 🙌
 
Vänliga hälsningar,

",received
"Tack för din ansökan. Vi kommer att gå igenom din ansökan inom kort, och återkoppla till dig så snabbt vi kan.
 
Vänliga hälsningar
",received
"Hej &amp; tack för din ansökan! 
 
Vi uppskattar ditt intresse för Submit och tjänsten Håltagare sökes i stockholm. Vi kommer att granska din ansökan och om du matchar det vi söker kommer du att bli kontaktad för en intervju.
 
Mvh,

",received
"Hej Dennis,

Stort tack för din ansökan och vad roligt att du är intresserad av att arbeta hos oss på Takkraft!
 
Vi kommer nu att se över din ansökan till tjänsten Säljare till solcellsbolag i Stockholm!, och återkoppla till dig så fort vi har möjlighet.
 
Vi hörs snart igen Dennis!
",received
"Verifiera din e-postadress för att slutföra ansökan till Footway söker kundservicemedarbetare med europeiska språkkunskaper!

Besök nedanstående sida och slutför ansökan.
",received
"Verifiera din e-postadress för att slutföra ansökan till Snöskottare sökes i Södra Stockholm

Besök nedanstående sida och slutför ansökan.
",received
"Tack för din ansökan! Vad roligt att du är intresserad av att bli en del av Prodeafamiljen. Vi kommer att gå genom din ansökan för Servicetekniker till branschens bästa bolag! så snart vi kan. Medan du väntar på svar så gilla connecta med oss, då får du alla jobb nyheter!

",received
"Hej!
 
Tack för att du skickade in din ansökan! Vi uppskattar verkligen ditt intresse för tjänsten som Nätverkstekniker inom Managed Networks 💻 hos Wrknest.
 
Vi kommer nu att gå igenom din ansökan och återkommer till dig så snart vi kan.
",received
"Hej Dennis!

Tack för din ansökan. Vi uppskattar att du vill vara en del av Jobwise!
 
Vi kommer att se över din ansökan gällande Montör till företag i norrort inom kort och återkommer till dig så snart som möjligt. Vi kontaktar dig antingen via mejl eller telefon, så håll gärna utkik i din inkorg – och kika även i skräppostmappen ifall vårt mejl hamnar där av misstag.
 
Har du några frågor under tiden är du varmt välkommen att höra av dig!

",received
"Hi Dennis,

Thank you for showing an interest in Embark, we have received your application to Product Manager - Games!

We will get back to you as soon as we have started the screening and selection phase, if you have the experience we are looking for we will move forward to the next step to talk more about this opportunity with you and how we can explore it together.

While we are going through your application I'd like to invite you to get to know us better by learning more about our projects and vision here.

To make sure you only get the information you want from us, please log into your Embark profile and tell us your preferences. 
",received
"Hej Dennis,

Tack för din ansökan gällande tjänsten som Insurance Broker till ledande bolag i Stockholm, vi uppskattar att du tagit dig tid att ansöka och att du visar intresse för en tjänst hos oss på Delta Consulting. 

Vi kommer att gå igenom din ansökan och kontakta dig så snart vi har möjlighet. Har du frågor är du välkommen att kontakta oss.
",received
"Hej Dennis!

Tack så mycket för din ansökan till tjänsten som  Ingenjör med ansvar för kontrakt av tekniskt underhåll till SJ! 

Vi uppskattar ditt intresse och att du vill jobba med oss i SJ-koncernen. Vi återkommer så snart vi har gått igenom alla ansökningar. 

Du kan läsa mer om oss på vår karriärsida eller följa oss på Instagram, Facebook, YouTube och LinkedIn.

Ha en fin dag!
 
Vänliga hälsningar

Tomas Löfgren
Rekryteringskonsult
Jefferson Wells

Vi ses på sj.se, i vår app, på Facebook, Instagram och Linkedin

SJ – För Sverige framåt",
"Verifiera din e-postadress för att slutföra ansökan till Ingenjör med ansvar för kontrakt av tekniskt underhåll till SJ Team X2

Besök nedanstående sida och slutför ansökan.

https://jobb.sj.se/jobs/4997350-ingenjor-med-ansvar-for-kontrakt-av-tekniskt-underhall-till-sj-team-x2/applications/verify_email/15e94a87-ab10-4640-8c91-855521ddeefa

- SJ AB",
"Hej Dennis!
 
Tack för din ansökan. Vi uppskattar att du är intresserad av att gå med hos oss på CONSULTING it.
 
Vi kommer att gå igenom samtliga ansökningar för rollen som Säljare och inom kort höra av oss till de som kommit vidare i rekryteringen. 

Vi vill önska dig en fantastik dag och tack för att du visat intresse för oss på CONSULTING it.
 
Med vänliga hälsningar,

Marcus Lundberg
Rekryterare, CONSULTING it",
"Verifiera din e-postadress för att slutföra ansökan till Maskinoperatör sökes till Kungsängen.

Besök nedanstående sida och slutför ansökan.

https://submitab.teamtailor.com/jobs/5200857-maskinoperator-sokes-till-kungsangen/applications/verify_email/c4fc2340-0ec3-4b39-b4f2-4d3bc1e67908

- Submit Bemanning",
"Verifiera din e-postadress för att slutföra ansökan till Mötesbokare

Besök nedanstående sida och slutför ansökan.

https://jobb.consultingit.se/jobs/5200895-motesbokare/applications/verify_email/b7c7c683-5f82-43c4-a523-f0eedb92d74d

- CONSULTING it",
"Verifiera din e-postadress för att slutföra ansökan till Lagermedarbetare/Produktionsmedarbetare sökes till Kungsängen.

Besök nedanstående sida och slutför ansökan.

https://submitab.teamtailor.com/jobs/5201162-lagermedarbetare-produktionsmedarbetare-sokes-till-kungsangen/applications/verify_email/b43fab1a-36ec-44f3-a3d0-143d8fc53454

- Submit Bemanning",
